[Header],,,,,,
Investigator Name,Steven Gruber,,,,,
Project Name,MouseMethylationILSBeta,,,,,
Experiment Name,MouseMethylationILSBeta,,,,,
Date,9/21/2020,,,,,
,,,,,,
[Data],,,,,,
Sample_Name,Sample_Well,Sample_Plate,Sample_Group,Pool_ID,Sentrix_ID,Sentrix_Position
20010_204617710015_R01C01_0%MethylMouse_VanAndel,A01,WG0007029-BCD,10 Meth Titrat,MouseMethylation,204617710015,R01C01
20385_R2_204617710016_R01C01_Mouse_VanAndel,A01,WG0007030-BCD,4 Replicates,MouseMethylation,204617710016,R01C01
20013_204617710015_R03C02_25%MethylMouse_VanAndel,A02,WG0007029-BCD,10 Meth Titrat,MouseMethylation,204617710015,R03C02
21024_204617710016_R03C02_Mouse_VanAndel,A02,WG0007030-BCD,4 Replicates,MouseMethylation,204617710016,R03C02
21021_500ng_R2_204617710011_R05C01_Mouse_VanAndel,A03,WG0007029-BCD,6 Quantity,MouseMethylation,204617710011,R05C01
21012_204617710019_R05C01_Mouse_VanAndel,A03,WG0007030-BCD,21 Tissue Meth,MouseMethylation,204617710019,R05C01
21026_204617710012_R01C01_Mouse_VanAndel,A04,WG0007029-BCD,4 Replicates,MouseMethylation,204617710012,R01C01
20384_204617710012_R03C02_Mouse_VanAndel,A05,WG0007029-BCD,4 Replicates,MouseMethylation,204617710012,R03C02
20322_204617710010_R05C01_Mouse_VanAndel,A06,WG0007029-BCD,18 T/N Meth,MouseMethylation,204617710010,R05C01
20001_204617710014_R01C01_Mouse_VanAndel,A07,WG0007029-BCD,11 Exp Meth,MouseMethylation,204617710014,R01C01
20391_204617710014_R03C02_Mouse_VanAndel,A08,WG0007029-BCD,11 Exp Meth,MouseMethylation,204617710014,R03C02
20985_204617710018_R05C01_10%Human90%Mouse_VanAndel,A09,WG0007029-BCD,13 Human Mix,MouseMethylation,204617710018,R05C01
20331_204617710021_R01C01_Mouse_VanAndel,A10,WG0007029-BCD,18 T/N Meth,MouseMethylation,204617710021,R01C01
20237_204617710021_R03C02_Mouse_VanAndel,A11,WG0007029-BCD,21 Tissue Meth,MouseMethylation,204617710021,R03C02
20021_204617710004_R05C01_Mouse_VanAndel,A12,WG0007029-BCD,6 SNPs,MouseMethylation,204617710004,R05C01
20015_204617710015_R02C01_50%MethylMouse_VanAndel,B01,WG0007029-BCD,10 Meth Titrat,MouseMethylation,204617710015,R02C01
20276_204617710016_R02C01_Mouse_VanAndel,B01,WG0007030-BCD,18 T/N Meth,MouseMethylation,204617710016,R02C01
20016_204617710015_R04C02_75%MethylMouse_VanAndel,B02,WG0007029-BCD,10 Meth Titrat,MouseMethylation,204617710015,R04C02
20329_204617710016_R04C02_Mouse_VanAndel,B02,WG0007030-BCD,18 T/N Meth,MouseMethylation,204617710016,R04C02
21021_250ng_204617710011_R06C01_Mouse_VanAndel,B03,WG0007029-BCD,6 Quantity,MouseMethylation,204617710011,R06C01
20242_204617710019_R06C01_Mouse_VanAndel,B03,WG0007030-BCD,21 Tissue Meth,MouseMethylation,204617710019,R06C01
21026_R2_204617710012_R02C01_Mouse_VanAndel,B04,WG0007029-BCD,4 Replicates,MouseMethylation,204617710012,R02C01
20009_100ng_204617710012_R04C02_Mouse_VanAndel,B05,WG0007029-BCD,15 Quantity,MouseMethylation,204617710012,R04C02
20026_204617710010_R06C01_Mouse_VanAndel,B06,WG0007029-BCD,21 Tissue Meth,MouseMethylation,204617710010,R06C01
20002_204617710014_R02C01_Mouse_VanAndel,B07,WG0007029-BCD,11 Exp Meth,MouseMethylation,204617710014,R02C01
21025_204617710014_R04C02_Mouse_VanAndel,B08,WG0007029-BCD,11 Exp Meth,MouseMethylation,204617710014,R04C02
20986_204617710018_R06C01_90%Human10%Mouse_VanAndel,B09,WG0007029-BCD,13 Human Mix,MouseMethylation,204617710018,R06C01
20332_204617710021_R02C01_Mouse_VanAndel,B10,WG0007029-BCD,18 T/N Meth,MouseMethylation,204617710021,R02C01
20025_204617710021_R04C02_Mouse_VanAndel,B11,WG0007029-BCD,21 Tissue Meth,MouseMethylation,204617710021,R04C02
20022_204617710004_R06C01_Mouse_VanAndel,B12,WG0007029-BCD,6 SNPs,MouseMethylation,204617710004,R06C01
20012_204617710015_R03C01_100%MethylMouse_VanAndel,C01,WG0007029-BCD,10 Meth Titrat,MouseMethylation,204617710015,R03C01
20277_204617710016_R03C01_Mouse_VanAndel,C01,WG0007030-BCD,18 T/N Meth,MouseMethylation,204617710016,R03C01
20382_204617710015_R05C02_Mouse_VanAndel,C02,WG0007029-BCD,13 Human Mix,MouseMethylation,204617710015,R05C02
20330_204617710016_R05C02_Mouse_VanAndel,C02,WG0007030-BCD,18 T/N Meth,MouseMethylation,204617710016,R05C02
20009_250ng_R3_204617710011_R01C02_Mouse_VanAndel,C03,WG0007029-BCD,15 Quantity,MouseMethylation,204617710011,R01C02
20009_1000ng_R2_204617710019_R01C02_Mouse_VanAndel,C03,WG0007030-BCD,15 Quantity,MouseMethylation,204617710019,R01C02
20333_204617710012_R03C01_Mouse_VanAndel,C04,WG0007029-BCD,18 T/N Meth,MouseMethylation,204617710012,R03C01
